nombre;apellido;edad;peso_kg;genero
Carlos;García;18;68;masculino
Andrés;Rodríguez;15;57;masculino
Miguel;López;22;75;masculino
Juan;Martínez;13;48;masculino
Diego;González;25;67;masculino
Luis;Pérez;17;61;masculino
José;Sánchez;20;72;masculino
Pedro;Ramírez;14;52;masculino
Felipe;Torres;28;84;masculino
Sebastián;Flores;16;59;masculino
Daniel;Rivera;19;70;masculino
Alejandro;Morales;12;42;masculino
Ricardo;Jiménez;23;76;masculino
Eduardo;Vargas;30;80;masculino
Camilo;Guerrero;17;63;masculino
Nicolás;Castro;21;74;masculino
Mateo;Herrera;13;47;masculino
Santiago;Rojas;26;79;masculino
Gabriel;Cruz;15;56;masculino
Tomás;Medina;18;65;masculino
María;García;16;50;femenino
Laura;Rodríguez;19;55;femenino
Ana;López;14;47;femenino
Carolina;Martínez;22;61;femenino
Valentina;González;12;41;femenino
Sofía;Pérez;25;58;femenino
Isabella;Sánchez;17;52;femenino
Camila;Ramírez;20;60;femenino
Daniela;Torres;15;48;femenino
Natalia;Flores;28;65;femenino
Paola;Rivera;13;44;femenino
Juliana;Morales;23;63;femenino
Andrea;Jiménez;18;54;femenino
Gabriela;Vargas;16;51;femenino
Vanessa;Guerrero;21;57;femenino
Catalina;Castro;14;45;femenino
Mariana;Herrera;27;67;femenino
Paula;Rojas;19;56;femenino
Diana;Cruz;15;50;femenino
Claudia;Medina;24;62;femenino
